"NAME","CODE__C"
"United States","+1"
"South Africa","+27"
"Netherlands","+31"
"Belgium","+32"
"France","+33"
"Spain","+34"
"Italy","+39"
"Switzerland","+41"
"Austria","+43"
"United Kingdom","+44"
"Sweden","+46"
"Norway","+47"
"Germany","+49"
"Mexico","+52"
"Argentina","+54"
"Brazil","+55"
"Colombia","+57"
"Australia","+61"
"New Zealand","+64"
"Japan","+81"
"Korea","+82"
"PR China","+86"
"India","+91"
"Portugal","+351"
"Ireland","+353"
"Iceland","+354"
"Finland","+358"
"Canada","+807"
"Taiwan","+886"
